"noc_title","2.C.3.a - Comp and Elec","2.C.3.b - Eng and Tech","2.C.9.a - Telco","2.B.3.b - Tech Design","2.B.3.e - Programming","4.A.3.b.1 - Inter w Comp","Rank - Tech Design","Rank - Programming","Rank - Comp and Elec","Rank - Inter w Comp","Rank - Eng and Tech","Rank - Telco","harm.rank","harm.rank.digital","harm.rank.no.tel","tech","digital","tech.no.tel","noc_code","noc_name"
"2223 Forestry technologists and technicians",12.6427888888889,9.46213333333333,6.46683333333333,2.6368,1.66666666666667,13.2262666666667,87,96,140,186,100,46,91.8972752277393,90.8560923623446,113.601000219172,0,NA,NA,"2223"," Forestry technologists and technicians"
"2224 Conservation and fishery officers",11.410316,9.00688,3.264272,2.3256,2.2032,13.494624,111,73,168,178,118,154,122.948776072164,127.109709929601,118.065989655753,0,NA,NA,"2224"," Conservation and fishery officers"
"2225 Landscape and horticulture technicians and specialists",3.9788,4.6284,0.957,1.0044,0,0.375,330,446,397.5,479.5,221.5,418.5,358.700803801319,434.239694239384,348.596217474571,0,NA,NA,"2225"," Landscape and horticulture technicians and specialists"
"2231 Civil engineering technologists and technicians",15.6379,22.6629,4.6128,1.3125,1.88,15.13,262.5,84.5,63,133,16,80,54.6707659858492,84.8729426365761,51.3335486635309,0,NA,NA,"2231"," Civil engineering technologists and technicians"
"2232 Mechanical engineering technologists and technicians",14.5392,23.9534,2.6325,5.3325,3,15.3439,25,54,83,124,14,216,40.5890608833733,93.688059711256,34.9125964368923,0,NA,NA,"2232"," Mechanical engineering technologists and technicians"
"2233 Industrial engineering and manufacturing technologists and technicians",14.09629375,21.35235,3.6602125,7.5403125,3.73828125,16.3295625,6,40,94,94,19,125,24.366815479269,74.935297934878,20.9819539035746,1,"High-Tech",1,"2233"," Industrial engineering and manufacturing technologists and technicians"
"2234 Construction estimators",16.5985,18.56,3.6285,1.54,3.0456,19.0755,217,52.5,50,44,27,128,55.2613228809772,58.5878064309404,49.5918118684014,0,NA,NA,"2234"," Construction estimators"
"2241 Electrical and electronics engineering technologists and technicians",22.41008,22.127856,8.264536,5.507784,4.446,20.454928,23,31,12,23,18,27,21.4398828873437,21.5570635410241,20.4802211089998,1,"High-Tech",1,"2241"," Electrical and electronics engineering technologists and technicians"
"2242 Electronic service technicians (household and business equipment)",18.845575,14.5071,11.80825,3.8822,2.9025,15.24825,42,57,31,129,45,10,31.2357288022231,27.1937212471439,49.4175492518921,0,NA,NA,"2242"," Electronic service technicians (household and business equipment)"
"2243 Industrial instrument technicians and mechanics",12.4587,15.1616,3.9856,4.24,3.5,5.535,34,45,145,371,40,103,63.9293029633603,97.8186390626106,59.3554308712077,0,NA,NA,"2243"," Industrial instrument technicians and mechanics"
"2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",16.802,19.5238,6.9069,2.36506666666667,1.35277777777778,16.5105777777778,103,127,48,91,23,42,52.8038428144202,64.1580418531648,55.3266998798268,0,NA,NA,"2244"," Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
"2251 Architectural technologists and technicians",15.9929,21.1818,2.078175,2.15985,3.69015,19.0113,119,43,56,45,20,280,49.374034905506,61.0044551246165,42.3862999376468,0,NA,NA,"2251"," Architectural technologists and technicians"
"2252 Industrial designers",15.3468,22.9824,2.509,10.86,2.025,12.834,3,79,72,196,15,232,17.2380794187323,112.465009372195,14.5444064059711,1,"High-Tech",1,"2252"," Industrial designers"
"2253 Drafting technologists and technicians",17.371264,22.314048,2.467168,2.7927,3.087624,19.793176,79.5,50,45,31,17,236,41.4380956679871,52.0722253684363,35.5682300174174,0,NA,NA,"2253"," Drafting technologists and technicians"
"2254 Land survey technologists and technicians",19.1268,18.1368,5.8564,1.6544,0.69,14.2857,193.5,276.5,29,160,29,56,60.5041824301182,65.9065698106066,61.2573648214256,0,NA,NA,"2254"," Land survey technologists and technicians"
"2255 Technical occupations in geomatics and meteorology",23.999625,10.93125,2.6184375,3.9790625,8.16,22.00455,40,13,8,16,88,218,21.3101765812143,16.2648290209336,18.0512315744208,1,"Digital",1,"2255"," Technical occupations in geomatics and meteorology"
"2261 Non-destructive testers and inspection technicians",7.722,7.3158,0.88145,1.5322,1.31625,9.8527,227,128.5,309,256,152,432,213.74946113274,233.258816751365,194.09352155258,0,NA,NA,"2261"," Non-destructive testers and inspection technicians"
"2262 Engineering inspectors and regulatory officers",6.9133,3.6337,0.5628,0.5244,0.75,9.2018,406,256,325,274,258,453,313.880610857068,312.560019962854,295.632237081384,0,NA,NA,"2262"," Engineering inspectors and regulatory officers"
"2263 Inspectors in public and environmental health and occupational health and safety",13.9425,12.22,2.622,1.3125,3.0456,12.987,262.5,52.5,96,191,58,217,100.77161600937,103.102465485142,90.9861488570383,0,NA,NA,"2263"," Inspectors in public and environmental health and occupational health and safety"
"2264 Construction inspectors",8.9159,16.425,3.8064,1.3125,0.75,10.78,262.5,256,257,231,34,110,112.248419586597,189.695967236767,112.501480942145,0,NA,NA,"2264"," Construction inspectors"
"2271 Air pilots, flight engineers and flying instructors",16.3072,7.4782,9.6685,0.5244,2.1056,15.6716,406,76.5,51,110,147,23,65.2007864169169,48.3035370816546,99.2915286112669,0,NA,NA,"2271"," Air pilots, flight engineers and flying instructors"
"2272 Air traffic controllers and related occupations",10.9733,4.368,10.2942,1.3125,1.3125,12.1792,262.5,135.5,180,209,233,17,73.8580618482146,54.6684614249889,194.693855304512,0,NA,NA,"2272"," Air traffic controllers and related occupations"
"2273 Deck officers, water transport",8.12026666666667,6.85751111111111,8.06404444444444,1.31957777777778,0.898333333333333,8.74027777777778,247.5,228.5,291.5,285.5,164.5,30.5,113.039106152403,92.9961462782327,234.379274876931,0,NA,NA,"2273"," Deck officers, water transport"
"2274 Engineer officers, water transport",10.1664,14.7294,6.3232,1.3125,1.3125,7.0675,262.5,135.5,216.5,339,43,49,97.740207172439,114.728616090171,120.810228525954,0,NA,NA,"2274"," Engineer officers, water transport"
"2275 Railway traffic controllers and marine traffic regulators",8.1189,3.7948,6.069,0.5244,0.75,8.544,406,256,293.5,302.5,248.5,53.5,169.514646548941,138.264045384213,293.314522095805,0,NA,NA,"2275"," Railway traffic controllers and marine traffic regulators"
"2281 Computer network technicians",27.414075,13.736,9.8697,6.733125,11.3906,28.0356,16,5,5,4,50,20,9.09940526762957,6.88524590163934,8.17307692307692,1,"Digital",1,"2281"," Computer network technicians"
"2282 User support technicians",29.4106,10.5608,10.2808,2.5,4.4944,24.3512,98,29,4,9,92,18,14.7485878087851,10.3636363636364,14.1168353265869,1,"Digital",1,"2282"," User support technicians"
"2283 Information systems testing technicians",22.7058,11.8338,3.0051,7.205,13.125,23.7165,7.5,3,11,11,64,183,10.8082183285146,9.47639484978541,9.09589792838524,1,"Digital",1,"2283"," Information systems testing technicians"
"3011 Nursing co-ordinators and supervisors",12.8304,1.488,3.4164,1.62,1.3125,13.734,202,135.5,133,170,380,141,170.310937911788,144.51441021351,177.3840488902,0,NA,NA,"3011"," Nursing co-ordinators and supervisors"
"3012 Registered nurses and registered psychiatric nurses",9.972375,1.5606,2.3183,1.12125,0.8736,12.99825,309,233,223,190,371,261,253.120079707859,224.843068284107,251.415841059925,0,NA,NA,"3012"," Registered nurses and registered psychiatric nurses"
"3111 Specialist physicians",12.7716857142857,4.92521632653061,3.37536734693878,1.23581632653061,0.839975510204082,11.8839510204082,281,238,135,215,212,146,192.244059003643,174.144789966672,204.85417372929,0,NA,NA,"3111"," Specialist physicians"
"3112 General practitioners and family physicians",7.812,1.207,1.8887,0.475,0,10.052,423.5,446,305,251,399,297,339.274758310215,311.791915984858,348.940831107896,0,NA,NA,"3112"," General practitioners and family physicians"
"3113 Dentists",10.3944,6.968,2.3541,4.24,1.215,10.626,34,148.5,210.5,236.5,161.5,250.5,110.438174947086,204.0424371903,99.2991532503082,0,NA,NA,"3113"," Dentists"
"3114 Veterinarians",9.758,2.3572,3.0552,2.24,0.3125,10.3155,113.5,344.5,231,245,330,178,209.708774205516,237.299526698757,217.159849958452,0,NA,NA,"3114"," Veterinarians"
"3121 Optometrists",8.9835,2.7676,1.8165,1.88,1.0044,9.153,158.5,194,254,278,306,306,236.050835499778,251.709546161722,225.622354992115,0,NA,NA,"3121"," Optometrists"
"3122 Chiropractors",13.92,4.5305,2.4125,1.3125,0.75,14.282,262.5,256,97,161,227,246,184.629098044592,164.496987600283,175.753083209591,0,NA,NA,"3122"," Chiropractors"
"3124 Allied primary health practitioners",8.35,1.632,3.6058,1.125,1.125,8.432,304,162.5,283,307,366,131,226.728838291757,195.504897303578,264.724336582722,0,NA,NA,"3124"," Allied primary health practitioners"
"3125 Other professional occupations in health diagnosing and treating",10.8481111111111,1.75466666666667,1.8624,3.09805555555556,1.60111111111111,12.0035222222222,60,103,196,212,362,302,143.420731625245,176.314815694502,129.753432707385,0,NA,NA,"3125"," Other professional occupations in health diagnosing and treating"
"3131 Pharmacists",12.3175,1.1218,3.2112,1.3125,1.215,17.518,262.5,148.5,149,77,406,157,154.809443730735,123.057019562216,154.186733037406,0,NA,NA,"3131"," Pharmacists"
"3132 Dietitians and nutritionists",10.3008,2.3828,2.4066,2.24,2.5,12.9269,113.5,64.5,212,194,328,247,146.715004905804,137.350966086969,135.636055535252,0,NA,NA,"3132"," Dietitians and nutritionists"
"3141 Audiologists and speech-language pathologists",12.96555,2.98745,2.349,3.16875,1.645,13.175,59,98.5,126,188,296,254,127.198113362411,147.401092536302,115.60976363227,0,NA,NA,"3141"," Audiologists and speech-language pathologists"
"3142 Physiotherapists",8.3258,1.743,2.0178,2.82,0.75,8.2818,75.5,256,285,310,363,286,200.625571307164,283.94351817996,189.235266083144,0,NA,NA,"3142"," Physiotherapists"
"3143 Occupational therapists",9.104775,2.668575,1.6109,3.38,0.75,10.940825,52.5,256,249,229,313,345,162.138707957294,264.39201262335,146.562327130163,0,NA,NA,"3143"," Occupational therapists"
"3144 Other professional occupations in therapy and assessment",8.41859375,1.4485625,1.7203125,2.69890625,0.9,9.94459375,84,227,280,253,384,333,205.213713625336,268.894843647353,190.521188842847,0,NA,NA,"3144"," Other professional occupations in therapy and assessment"
"3211 Medical laboratory technologists",8.61666666666667,2.01173333333333,1.03111111111111,0.900277777777778,1.01937777777778,11.571,351,183,272,222,343,408,275.545795416372,249.577605820585,258.665594365424,0,NA,NA,"3211"," Medical laboratory technologists"
"3212 Medical laboratory technicians and pathologists' assistants",9.7515,3.4362,2.8919,1.86375,1.645,18.06995,167,98.5,232,60,272,194,131.928647636273,111.533250519575,123.912899775598,0,NA,NA,"3212"," Medical laboratory technicians and pathologists' assistants"
"3213 Animal health technologists and veterinary technicians",9.0882,2.5844,0.876,1.3125,1.215,12.3255,262.5,148.5,250,206,316,433,242.348523524396,224.61698499834,222.681585867512,0,NA,NA,"3213"," Animal health technologists and veterinary technicians"
"3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13.0815,3.4444,2.145,2.9256,0.75,13.9093,69.5,256,121,169,271,274,152.024370873543,185.129573695375,139.543999172416,0,NA,NA,"3214"," Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
"3215 Medical radiation technologists",15.996,6.0433,4.0411,1.54,1.3125,14.6316,217,135.5,55,150,185,102,116.55486058461,96.3520984632142,119.70552406003,0,NA,NA,"3215"," Medical radiation technologists"
"3216 Medical sonographers",11.31,3.6188,3.1317,2.5,0.3125,14.0096,98,344.5,170,164,263,167,173.189237342942,192.721893953305,174.265792770852,0,NA,NA,"3216"," Medical sonographers"
"3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",12.8759,2.3114,3.54,1.54,1.0044,15.867,217,194,129,103,332,133,160.048044419699,133.7856,166.522034496449,0,NA,NA,"3217"," Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
"3219 Other medical technologists and technicians (except dental health)",9.0514,12.0521,2.84445,6.74595,0.945,8.8848,15,206,253,283,60,201,62.4135376281987,232.024650672017,54.8350864139638,0,NA,NA,"3219"," Other medical technologists and technicians (except dental health)"
"3221 Denturists",10.3944,6.968,2.3541,4.24,1.215,10.626,34,148.5,210.5,236.5,161.5,250.5,110.438174947086,204.0424371903,99.2991532503082,0,NA,NA,"3221"," Denturists"
"3222 Dental hygienists and dental therapists",9.0812,2.1063,1.19,0.75,0.3125,10.71,371,344.5,251,233,340,397,311.374504026655,293.068696837202,298.385657026045,0,NA,NA,"3222"," Dental hygienists and dental therapists"
"3223 Dental technologists, technicians and laboratory assistants",7.038,14.7204,1.5364,3.5,0.1344,4.3976,49,394,321,404,44,358,112.964335006082,367.24583078633,99.3471034405082,0,NA,NA,"3223"," Dental technologists, technicians and laboratory assistants"
"3231 Opticians",8.01,3.6477,2.438,2.1875,0.5244,11.4345,117,301.5,296,225,253,242,217.199462649501,262.936585346552,212.683134134233,0,NA,NA,"3231"," Opticians"
"3232 Practitioners of natural healing",8.2908,1.298,1.22945,1.7861,1.0275,7.1248,172,181,287,338,391,393,263.319368189747,276.727533561585,246.938610028875,0,NA,NA,"3232"," Practitioners of natural healing"
"3233 Licensed practical nurses",8.5228,0.9452,1.9584,1.88,0.3125,11.8218,158.5,344.5,274,216,425.5,293,259.127401238356,275.096066487019,253.122609936442,0,NA,NA,"3233"," Licensed practical nurses"
"3234 Paramedical occupations",9.3347,4.1193,10.1232,1.3125,1.0044,15.1312,262.5,194,238,132,240,19,80.2401356745598,59.8523718452795,201.811895075352,0,NA,NA,"3234"," Paramedical occupations"
"3236 Massage therapists",2.768,0.8308,0.7632,1.215,0,4.4969,289.5,446,443,399,436,443,400.739731320361,432.82356597262,393.079936869218,0,NA,NA,"3236"," Massage therapists"
"3237 Other technical occupations in therapy and assessment",12.08975,1.9936875,2.428125,2.6675,0.76546875,10.70978125,86,241,156,234,344,244,180.552054752465,212.3298910483,171.527875853344,0,NA,NA,"3237"," Other technical occupations in therapy and assessment"
"3411 Dental assistants",6.8774,1.936,2.0585,1.88,0.3125,15.7125,158.5,344.5,333,106,349,282,215.09642336351,213.131781382956,205.24695189536,0,NA,NA,"3411"," Dental assistants"
"3413 Nurse aides, orderlies and patient service associates",5.83706666666667,0.848575,2.41605,0.809322222222222,0.251736111111111,6.25888888888889,359,379,353,360,435,245,345.564050389447,325.426514270453,375.999880511099,0,NA,NA,"3413"," Nurse aides, orderlies and patient service associates"
"3414 Other assisting occupations in support of health services",7.61016666666667,1.92477777777778,2.18396111111111,1.21875,0.8425,11.95325,285.5,237,310,214,350,270,271.521240884696,253.834254511752,271.625729767124,0,NA,NA,"3414"," Other assisting occupations in support of health services"
"4011 University professors and lecturers",14.8574658304498,3.68405475778547,3.4071151384083,0.726191003460208,1.04117188581315,15.8692015570934,382,179,80,102,251,142,145.694015376363,115.596982296608,146.245045307518,0,NA,NA,"4011"," University professors and lecturers"
"4012 Post-secondary teaching and research assistants",15.4936,2.2272,1.88845,2.425,5.20125,14.9342,102,24,68,145,335,298,77.5479557283192,61.8366566408703,67.5429262359788,0,NA,NA,"4012"," Post-secondary teaching and research assistants"
"4021 College and other vocational instructors",14.5485191836735,3.60330579591837,3.38752408163265,0.740738204081633,1.00157118367347,15.3953436734694,381,202,82,122,265,144,156.339024840219,124.996351003323,158.82302235145,0,NA,NA,"4021"," College and other vocational instructors"
"4031 Secondary school teachers",14.574,3.6158,2.31,1.54,1.3125,12.818,217,135.5,81,197,264,262,163.333499233864,140.974550103633,151.826279463189,0,NA,NA,"4031"," Secondary school teachers"
"4032 Elementary school and kindergarten teachers",13.2264,1.457,1.691,1.54,0.75,9.7734,217,256,114,259,383,338,225.784331804171,206.369500624115,211.647564579461,0,NA,NA,"4032"," Elementary school and kindergarten teachers"
"4033 Educational counsellors",6.615,0.4408,1.7264,1.54,1.75,18.2313,217,92.5,338.5,57.5,465.5,331.5,148.246943415594,118.5458063338,133.456144853636,0,NA,NA,"4033"," Educational counsellors"
"4111 Judges",10.5138,1.963,2.4344,0.75,0.5244,13.2834,371,301.5,208,185,347,243,259.437985035944,227.723271801948,262.763010797163,0,NA,NA,"4111"," Judges"
"4112 Lawyers and Quebec notaries",12.617,1.836,3.3201,1.88,1.125,13.4514,158.5,162.5,141,179,356,152,174.821722886517,158.416062800922,179.954961180551,0,NA,NA,"4112"," Lawyers and Quebec notaries"
"4151 Psychologists",10.228788,0.740328,1.23082,1.0881,1.887176,13.68502,313,83,214,172,443,392,197.903761100708,160.766529808789,180.029428115226,0,NA,NA,"4151"," Psychologists"
"4152 Social workers",9.92766666666667,0.508333333333333,2.14231111111111,0.8932,1.05555555555556,14.1795,352,178,225,162,458,275,242.120597778736,202.331581425684,236.318899907396,0,NA,NA,"4152"," Social workers"
"4153 Family, marriage and other related counsellors",7.9207,0.7072,1.89591111111111,0.87,0.6348,12.7482666666667,354,285,301,199,444.5,296,296.496369682804,263.595512857103,296.395848514317,0,NA,NA,"4153"," Family, marriage and other related counsellors"
"4154 Professional occupations in religion",9.4276,1.3205,3.1899,0.75,0.75,9.4107,371,256,237,267,388,161,258.000374726938,222.260326956434,292.689654352265,0,NA,NA,"4154"," Professional occupations in religion"
"4155 Probation and parole officers and related occupations",14.3775,1.0981,3.243,0.5244,0.75,13.9956,406,256,89,166,410,156,186.048214157767,146.200901597042,193.197305501607,0,NA,NA,"4155"," Probation and parole officers and related occupations"
"4156 Employment counsellors",6.615,0.4408,1.7264,1.54,1.75,18.2313,217,92.5,338.5,57.5,465.5,331.5,148.246943415594,118.5458063338,133.456144853636,0,NA,NA,"4156"," Employment counsellors"
"4161 Natural and applied science policy researchers, consultants and program officers",10.7379,16.23403125,2.55871875,5.2609375,3.6884375,15.076875,26,44,200,135,35,227,57.8307302695906,102.732022825646,50.3194770557387,0,NA,NA,"4161"," Natural and applied science policy researchers, consultants and program officers"
"4162 Economists and economic policy researchers and analysts",13.1937555555556,2.71766666666667,1.77931111111111,2.145,4.42361111111111,19.9807222222222,121,32,116,28,311,309,68.212472371629,52.2475567090731,59.0077397826122,0,NA,NA,"4162"," Economists and economic policy researchers and analysts"
"4163 Business development officers and marketing researchers and consultants",14.418,3.3998,3.3649,1.215,4.24,19.823,289.5,34,87,29,275,147,68.8937060668627,49.9842830512811,62.2402035817344,0,NA,NA,"4163"," Business development officers and marketing researchers and consultants"
"4164 Social policy researchers, consultants and program officers",13.065,1.078,2.325,2.11875,5.9536,15.543425,122,18,122,114,413,258,71.5445276296081,54.5566265400191,62.4977714387591,0,NA,NA,"4164"," Social policy researchers, consultants and program officers"
"4165 Health policy researchers, consultants and program officers",15.3867,4.180425,4.5254,2.0825,5.47875,17.06255,144,21,70,80,238,83,63.2443427256003,47.7386822264296,60.2660987019734,0,NA,NA,"4165"," Health policy researchers, consultants and program officers"
"4166 Education policy researchers, consultants and program officers",15.516,2.7265,2.8595,1.3125,1.0044,17.5775,262.5,194,67,76,310,198.5,133.7967687879,105.726038185214,125.528471836731,0,NA,NA,"4166"," Education policy researchers, consultants and program officers"
"4167 Recreation, sports and fitness policy researchers, consultants and program officers",17.4096,1.8582,3.0954,2.76,10.14,15.3873,82,7,44,123,355,170,34.0924833301633,24.8239529370445,29.38688613345,0,NA,NA,"4167"," Recreation, sports and fitness policy researchers, consultants and program officers"
"4168 Program officers unique to government",10.23,0.4847,2.6596,0.1344,0.69,12.5712,461.5,276.5,213,203,461,214,270.803476196927,224.345724615282,285.630621879892,0,NA,NA,"4168"," Program officers unique to government"
"4211 Paralegal and related occupations",15.66,0.2622,1.183,1.3125,0.93,18.3112,262.5,217.5,61.5,54.5,475.5,398.5,127.682643547653,97.3287966542259,112.388899578662,0,NA,NA,"4211"," Paralegal and related occupations"
"4212 Social and community service workers",9.25555555555555,0.7964,1.924,1.11888888888889,0.646944444444445,13.6206555555556,310,284,243,173,437,294,269.752289527125,238.890265883838,265.212620739209,0,NA,NA,"4212"," Social and community service workers"
"4214 Early childhood educators and assistants",4.3143,0.4788,1.054,0.8556,0,4.1249,357,446,384,411,462,406,408.946403540002,411.576579673657,409.337920383881,0,NA,NA,"4214"," Early childhood educators and assistants"
"4215 Instructors of persons with disabilities",12.38328,1.979868,2.00718,2.1525,1.071252,13.615076,120,175,147,174,346,287,183.086527242984,184.970389390227,170.653310932297,0,NA,NA,"4215"," Instructors of persons with disabilities"
"4216 Other instructors",7.2127,0.551655555555556,1.79666666666667,0.992222222222222,0.608888888888889,6.30186666666667,338,287,317,358,456,308,337.520957728858,316.489809364627,343.868833762523,0,NA,NA,"4216"," Other instructors"
"4311 Police officers (except commissioned)",12.50775,2.896,11.11715,1.5972,1.17375,16.93625,205,157.5,144,83,300,12,54.4414382953362,39.2027959274807,150.208384262114,0,NA,NA,"4311"," Police officers (except commissioned)"
"4312 Firefighters",9.4644,7.56575,10.3515,1.88,0.3125,8.9505,158.5,344.5,235,282,141,16,72.4632531233162,57.5632808786633,208.532664114885,0,NA,NA,"4312"," Firefighters"
"4411 Home child care providers",3.287825,0.7632,0.93225,1.42625,0,1.6653,235,446,418,462,441,422,383.45037652834,437.270070927089,376.411634952583,0,NA,NA,"4411"," Home child care providers"
"4412 Home support workers, housekeepers and related occupations",1.6781,0.3078,1.4432,0.5244,0,1.1808,406,446,461,472,473,367.5,434.901896635852,433.392561367164,451.161308620162,0,NA,NA,"4412"," Home support workers, housekeepers and related occupations"
"4413 Elementary and secondary school teacher assistants",4.237,0.6255,1.3172,1.75,1.3125,4.488,178.5,135.5,387,401,450,379,263.033373919115,266.267832067994,247.779712358154,0,NA,NA,"4413"," Elementary and secondary school teacher assistants"
"4421 Sheriffs and bailiffs",8.50585,1.2599,6.45665,0.140625,0.219225,9.66125,455.5,382,275,262,395,47,168.607516242366,129.576608706367,338.930916122938,0,NA,NA,"4421"," Sheriffs and bailiffs"
"4422 Correctional service officers",13.0326,0.9112,5.238,1.0044,0.75,11.121,330,256,123,228,427,67,164.899231234916,128.914732355319,230.627566110454,0,NA,NA,"4422"," Correctional service officers"
"4423 By-law enforcement and other regulatory officers, n.e.c.",11.61110625,4.4334,4.437675,0.6193,1.395625,14.36496875,392,124,165,157,232,84,154.026677268285,124.541080937346,183.893942772664,0,NA,NA,"4423"," By-law enforcement and other regulatory officers, n.e.c."
"5111 Librarians",18.1634,1.785,2.4038,1.88,0.475,17.7175,158.5,318,38,68,359,248,106.511377785651,84.5940673408109,95.5731551380247,0,NA,NA,"5111"," Librarians"
"5112 Conservators and curators",8.72925,3.019425,2.079675,2.05095,1.31625,10.71275,145,128.5,270,232,294,279,203.290154490464,207.519266730541,192.729951081519,0,NA,NA,"5112"," Conservators and curators"
"5113 Archivists",15.54,1.6218,2.1875,0.75,2.35,16.498,371,69,64.5,92.5,368.5,268.5,121.572703019854,90.9946006796056,109.546761417335,0,NA,NA,"5113"," Archivists"
"5121 Authors and writers",10.395,1.50255,3.3022,1.17,0.93,13.600075,299,217.5,209,176,378,153,218.550225760522,186.204241270318,238.548058246986,0,NA,NA,"5121"," Authors and writers"
"5122 Editors",10.863,1.5295,5.618,1.0044,1.215,14.9896,330,148.5,195,139,377,61,147.313212832403,114.080716362426,203.247803547883,0,NA,NA,"5122"," Editors"
"5123 Journalists",10.1775,1.3195,7.08,0.3125,0.5244,10.6314,439.5,301.5,215,235,389,39,142.833497067968,107.605842166598,293.997401898636,0,NA,NA,"5123"," Journalists"
"5125 Translators, terminologists and interpreters",13.3076,1.6272,6.9966,1.75,0.3125,10.187,178.5,344.5,110,249,367,40,123.502453345602,99.27132633406,206.681714265494,0,NA,NA,"5125"," Translators, terminologists and interpreters"
"5131 Producers, directors, choreographers and related occupations",13.74912,5.142668,9.338352,1.482944,1.1253,12.77262,230,159,101,198,204,24,85.3653848179935,65.4889063202618,165.092235363378,0,NA,NA,"5131"," Producers, directors, choreographers and related occupations"
"5132 Conductors, composers and arrangers",13.6977555555556,2.2092,2.92147777777778,1.2475,0.984866666666667,13.2910666666667,280,204,104,184,337,189,189.947230570301,159.550567721273,189.936680201572,0,NA,NA,"5132"," Conductors, composers and arrangers"
"5133 Musicians and singers",5.3463,1.4949,1.45885,1.035,0,3.675,319,446,364,419,379,366,378.807262494937,396.722653765658,381.26047366195,0,NA,NA,"5133"," Musicians and singers"
"5134 Dancers",1.5936,0.9996,0.29,0.8556,0,1.3629,357,446,465,468,419,476,435.226037697395,464.484826376902,427.7341507832,0,NA,NA,"5134"," Dancers"
"5135 Actors and comedians",4.6592,0.6728,1.888,0.475,0,2.4428,423.5,446,379,449,447,299,399.676889786096,383.719879518072,428.126430469012,0,NA,NA,"5135"," Actors and comedians"
"5136 Painters, sculptors and other visual artists",21.624,4.7603,3.4026,2.025,1.0044,10.034,146,194,14,252,216,143,63.7599894255466,48.3723400452454,57.3667796908067,0,NA,NA,"5136"," Painters, sculptors and other visual artists"
"5211 Library and public archive technicians",11.847,1.4841,1.76,0.69,1.215,12.87,387,148.5,158,195,381,315,226.928983157995,188.280754703855,214.818776296307,0,NA,NA,"5211"," Library and public archive technicians"
"5212 Technical occupations related to museums and art galleries",6.496,6.171,2.047,2.5944,0.93,8.4736,91,217.5,344,306,181,283,195.964847161376,280.629568301458,184.524931295771,0,NA,NA,"5212"," Technical occupations related to museums and art galleries"
"5221 Photographers",18.2784,2.3616,2.6696,3,1.215,18.18,65,148.5,37,59,329,213,82.7287986931676,73.604753065896,73.6884514549178,0,NA,NA,"5221"," Photographers"
"5222 Film and video camera operators",20.9456,11.2558,13.041,3.71,0.69,10.3766,46.5,276.5,17,244,84,8,28.961828449341,22.9421069281873,52.0518152686771,0,NA,NA,"5222"," Film and video camera operators"
"5223 Graphic arts technicians",16.169,4.545,2.9593,3.900775,7.015,18.03645,41,17,52,61,226,186,48.3422959109276,41.7100686326269,42.0991220056178,0,NA,NA,"5223"," Graphic arts technicians"
"5224 Broadcast technicians",20.8923,16.6782,18.6615,4.24,2.82,18.48,34,58.5,18,51,33,4,17.3084113983993,13.8566975255897,34.0942571133614,1,"Digital",NA,"5224"," Broadcast technicians"
"5225 Audio and video recording technicians",20.862,14.7662,11.305,4.10625,2.63,19.2608,37,62,19,42,42,11,27.0229167942739,23.1934931506849,36.0489140712,0,NA,NA,"5225"," Audio and video recording technicians"
"5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5.206075,3.620925,2.35025,1.26375,0.140625,4.7601,278.5,386,368,391,262,252,312.863460869209,339.052125346196,328.404512807322,0,NA,NA,"5226"," Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
"5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",7.8737625,7.69255,5.4211625,1.2129,0.136875,4.8069875,293,388,304,389,139,64,174.711560143052,168.080641133335,263.745034727463,0,NA,NA,"5227"," Support occupations in motion pictures, broadcasting, photography and the performing arts"
"5231 Announcers and other broadcasters",18.603,5.8081,14.2065,0.8556,0.475,20.6584,357,318,34,21,188,7,28.5381243568086,19.7862324860165,58.6544172412129,0,NA,NA,"5231"," Announcers and other broadcasters"
"5232 Other performers, n.e.c.",0.4715,0.1308,0.264,1.4256,0,0.3302,237.5,446,481,481,478,479,406.768569840286,472.263526704067,394.724309141439,0,NA,NA,"5232"," Other performers, n.e.c."
"5241 Graphic designers and illustrators",18.7308,3.757975,2.86375,3.2136,1.99155,22.06575,57,80,33,15,250,197,45.9652500877736,36.5938620663622,39.846070875158,0,NA,NA,"5241"," Graphic designers and illustrators"
"5242 Interior designers and interior decorators",14.875,11.935,2.5668,2.1056,1.54,17.7927,133.5,109.5,79,66,63,226,93.8374191280456,97.8463211762804,83.9840824171783,0,NA,NA,"5242"," Interior designers and interior decorators"
"5243 Theatre, fashion, exhibit and other creative designers",10.078425,7.55595,2.8981,2.221875,1.125,13.72625,116,162.5,220,171,142,193,161.508693481181,185.102167783918,156.2741059778,0,NA,NA,"5243"," Theatre, fashion, exhibit and other creative designers"
